EndNum,Hammer,EndSituation,Win
7,0,2,0.7858974358974359
7,0,3,0.9002808988764045
7,0,4,0.9730639730639731
7,0,5,0.986046511627907
7,0,6,1.0
7,0,7,1.0
7,0,8,1.0
7,0,9,1.0
7,0,10,1.0
7,0,11,1.0
7,0,12,1.0
7,0,13,1.0
7,1,-13,0.0
7,1,-12,0.0
7,1,-11,0.0
7,1,-10,0.0
7,1,-9,0.0
7,1,-8,0.0
7,1,-7,0.0
7,1,-6,0.0
7,1,-5,0.013953488372093023
7,1,-4,0.026936026936026935
7,1,-3,0.0997191011235955
7,1,-2,0.2141025641025641
7,1,-1,0.4098360655737705
7,1,0,0.5880893300248139
7,1,1,0.7794117647058824
7,1,2,0.8946459412780656
7,1,3,0.9761904761904762
7,1,4,0.9886792452830189
7,1,5,1.0
7,1,6,1.0
7,1,7,1.0
7,1,8,1.0
7,1,9,1.0
7,1,10,1.0
7,1,11,1.0
7,1,15,1.0
8,0,-8,0.0
8,0,-7,0.0
8,0,-6,0.0
8,0,-5,0.0
8,0,-4,0.0
8,0,-3,0.028985507246376812
8,0,-2,0.052
8,0,-1,0.14842300556586271
8,0,0,0.3123209169054441
8,0,1,0.49865951742627346
8,0,2,0.7516666666666667
8,0,3,0.8508997429305912
8,0,4,0.949238578680203
8,0,5,1.0
8,0,6,1.0
8,0,7,1.0
8,0,8,1.0
8,0,9,1.0
8,0,10,1.0
8,0,11,1.0
8,0,12,1.0
8,1,-12,0.0
8,1,-11,0.0
8,1,-10,0.0
8,1,-9,0.0
8,1,-8,0.0
8,1,-7,0.0
8,1,-6,0.0
8,1,-5,0.0
8,1,-4,0.050761421319796954
8,1,-3,0.14910025706940874
8,1,-2,0.24833333333333332
8,1,-1,0.5013404825737265
8,1,0,0.6876790830945558
8,1,1,0.8515769944341373
8,1,2,0.948
8,1,3,0.9710144927536232
8,1,4,1.0
8,1,5,1.0
8,1,6,1.0
8,1,7,1.0
8,1,8,1.0
9,0,-3,0.0
9,0,0,0.36824324324324326
9,0,1,0.0
9,0,4,1.0
9,1,-4,0.0
9,1,-1,1.0
9,1,0,0.6317567567567568
9,1,3,1.0
